section,name,passed,answer,citation_count,conflict_count
base_known_eval,orchid_base_value,True,The default command for pulling remote worktrees is `orchid sync`. # Orchid CLI Manual v1 Orchid CLI is the workspace sync tool used in the local deployment stack.,2,0
base_known_eval,nova_base_value,True,The default cache mode in Nova Build is `local`.,1,1
base_known_eval,ruma_base_value,True,The default retrieval top_k in RUMA Agent is `2`.,1,0
base_known_eval,cinder_base_value,True,The default retry backoff mode is `fixed_30s`. # Cinder Queue Manual v1 Cinder Queue is the retry and queue manager used in the background job stack.,2,0
base_known_eval,helios_base_value,True,The default publish target is `internal`. # Helios Packager Manual v1 Helios Packager is the release packaging tool used in the internal delivery path.,2,0
base_known_eval,marlin_base_value,True,The default healthcheck command is `marlin probe`. # Marlin Proxy Manual v1 Marlin Proxy is the service-edge proxy used in the gateway layer.,2,0
base_known_eval,quartz_base_value,True,The default schedule mode is `steady`. # Quartz Scheduler Manual v1 Quartz Scheduler is the orchestration scheduler used for batch planning.,2,0
base_known_eval,atlas_base_value,True,The default alert mode in Atlas Monitor is `summary`.,1,0
base_known_eval,ember_base_value,True,The default queue class in Ember Runner is `standard`.,1,0
base_known_eval,lumen_base_value,True,The default eviction policy in Lumen Cache is `lru`.,1,0
base_known_eval,sable_base_value,True,The default rollout mode in Sable Deploy is `linear`.,1,0
base_known_eval,tidal_base_value,True,The default snapshot mode in Tidal Sync is `daily`.,1,0
no_update_future_eval,orchid_updated_value,False,The default command for pulling remote worktrees is `orchid sync`. # Orchid CLI Manual v1 Orchid CLI is the workspace sync tool used in the local deployment stack.,2,0
no_update_future_eval,nova_updated_value,False,The default cache mode in Nova Build is `local`.,1,1
no_update_future_eval,ruma_updated_value,False,The default retrieval top_k in RUMA Agent is `2`.,1,0
no_update_future_eval,cinder_updated_value,False,The default retry backoff mode is `fixed_30s`. # Cinder Queue Manual v1 Cinder Queue is the retry and queue manager used in the background job stack.,2,0
no_update_future_eval,helios_updated_value,False,The default publish target is `internal`. # Helios Packager Manual v1 Helios Packager is the release packaging tool used in the internal delivery path.,2,0
no_update_future_eval,marlin_updated_value,False,The default healthcheck command is `marlin probe`. # Marlin Proxy Manual v1 Marlin Proxy is the service-edge proxy used in the gateway layer.,2,0
no_update_future_eval,quartz_updated_value,False,The default schedule mode is `steady`. # Quartz Scheduler Manual v1 Quartz Scheduler is the orchestration scheduler used for batch planning.,2,0
no_update_future_eval,atlas_updated_value,False,The default alert mode in Atlas Monitor is `summary`.,1,0
no_update_future_eval,ember_updated_value,False,The default queue class in Ember Runner is `standard`.,1,0
no_update_future_eval,lumen_updated_value,False,The default eviction policy in Lumen Cache is `lru`.,1,0
no_update_future_eval,sable_updated_value,False,The default rollout mode in Sable Deploy is `linear`.,1,0
no_update_future_eval,tidal_updated_value,False,The default snapshot mode in Tidal Sync is `daily`.,1,0
superseded_update_eval,orchid_updated_value,True,The default command for pulling remote worktrees is now `orchid pull`.,1,0
superseded_update_eval,nova_updated_value,True,The default cache mode in Nova Build is now `shared_remote`.,1,1
superseded_update_eval,ruma_updated_value,True,The default retrieval top_k in RUMA Agent is now `4`.,1,0
superseded_update_eval,cinder_updated_value,True,The default retry backoff mode is now `jittered_exponential`. # Cinder Queue Manual v2 Cinder Queue remains the retry and queue manager used in the background job stack.,2,0
superseded_update_eval,helios_updated_value,True,The default publish target is now `staging_registry`. # Helios Packager Manual v2 Helios Packager is still the release packaging tool used in the delivery path.,2,0
superseded_update_eval,marlin_updated_value,True,The default healthcheck command is now `marlin health`. # Marlin Proxy Manual v2 Marlin Proxy remains the service-edge proxy used in the gateway layer.,2,0
superseded_update_eval,quartz_updated_value,True,The default schedule mode is now `adaptive`. # Quartz Scheduler Manual v2 Quartz Scheduler remains the orchestration scheduler used for batch planning.,2,0
